PID,CID,UID,TYPE,1,2,3,4,5,6
Abomination,ABOMINATION,abomination,science,false,true,true,true,true
Aegon,AEGON,aegon,skill,false,true,true,true,true,true
Agent Venom,AGENTVENOM,agentvenom,skill,false,true,true,true,true
Angela,ANGELA,angela,cosmic,false,true,true,true,true,true
Annihilus,ANNIHILUS,annihilus,cosmic,false,true,true,true,true
Ant-Man,ANTMAN,antman,science,false,true,true,true,true,true
Archangel,ARCHANGEL,archangel,mutant,false,true,true,true,true
BLACKWIDOWCLAIRE,BLACKWIDOWCLAIRE,blackwidowclaire,mystic,false,false,true,true,true,true
Beast,BEAST,beast,mutant,false,true,true,true,true,true
Bishop,BISHOP,bishop,mutant,false,true,true,true,true,true
Black Bolt,BLACKBOLT,blackbolt,cosmic,false,true,true,true,false,true
Black Panther (Civil War),BLACKPANTHERCIVILWAR,blackpanthercivilwar,skill,false,true,true,true,true,true
Black Panther,BLACKPANTHER,blackpanther,skill,true,true,true,true,true
Black Widow,BLACKWIDOW,blackwidow,skill,false,true,true,true,true
Blade,BLADE,blade,skill,false,true,true,true,true
Cable,CABLE,cable,mutant,false,true,true,true,true,true
Captain America (Infinity War),CAPTAINAMERICAIW,capamericaiw,science,false,true,true,true,true,true
Captain America (WWII),CAPTAINAMERICAWWII,captainamericawwii,science,false,true,true,true,false,true
Captain America,CAPTAINAMERICA,captainamerica,science,false,true,true,true,true
Captain Marvel (Theatrical),CAPTAINMARVELMOVIE,captainmarvelmovie,cosmic,false,true,true,true,true
Captain Marvel,CAPTAINMARVEL,captainmarvel,cosmic,false,false,true,true,true,true
Carnage,CARNAGE,carnage,cosmic,false,true,true,true,true
Civil Warrior,CIVILWARRIOR,civilwarrior,tech,false,true,true,true,true,true
Colossus,COLOSSUS,colossus,mutant,true,true,true,true,true
Corvus Glave,CORVUSGLAIVE,corvusglaive,cosmic,false,true,true,true,true,true
Crossbones,CROSSBONES,crossbones,skill,false,true,true,true,true
Cull Obsidian,CULLOBSIDIAN,cullobsidian,cosmic,false,false,true,true,true,true
Cyclops (Blue Team),CYCLOPS90S,cyclops90s,mutant,false,false,true,true,true,true
Cyclops (New X School),CYCLOPS,cyclops,mutant,false,true,true,true,true,true
DRDOOM,DRDOOM,drdoom,mystic,false,false,true,true,true
Daredevil (*Netflix*),DAREDEVILNETFLIX,daredevilnetflix,skill,false,true,true,true,true
Daredevil (Classic),DAREDEVIL,daredevil,skill,false,true,true,true,false,true
Dark Hawk,DARKHAWK,darkhawk,tech,false,true,true,true,true,true
Dark Phoenix,DARKPHOENIX,darkphoenix,cosmic,false,false,false,false,true
Deadpool (X-Force),DEADPOOLXFORCE,deadpoolxforce,mutant,false,true,true,true,false,true
Deadpool,DEADPOOL,deadpool,mutant,false,true,true,true,false
Diablo,DIABLO,diablo,mystic,false,false,true,true,true,true
Domino,DOMINO,domino,mutant,false,true,true,true,true,true
Dormammu,DORMAMMU,dormammu,mystic,false,true,true,true,true,true
Dr. Octopus,DROCTOPUS,docock,tech,false,true,true,true,true,true
Dr. Strange,DRSTRANGE,drstrange,mystic,false,true,true,true,true
Dr. Voodoo,DRVOODOO,brothervoodoo,mystic,false,true,true,true,true
Drax,DRAX,drax,cosmic,false,true,true,true,true,true
ELSABLOODSTONE,ELSABLOODSTONE,elsabloodstone,skill,false,false,true,true,true,true
Ebony Maw,EBONYMAW,ebonymaw,mystic,false,false,true,true,true,true
Electro,ELECTRO,electro,science,false,true,true,true,true,true
Elektra,ELEKTRA,elektra,skill,false,true,true,true,true,true
Emma Frost,EMMAFROST,emmafrost,mutant,false,true,true,true,true,true
Falcon,FALCON,falcon,skill,false,true,true,true,true
GRANDMASTER,GRANDMASTER,grandmaster,universal,false,false,false,false,true
GUILLOTINE2099,GUILLOTINE2099,guillotine2099,tech,false,false,true,true,true,true
Gambit,GAMBIT,gambit,mutant,false,false,true,true,true
Gamora,GAMORA,gamora,cosmic,true,true,true,true,false,true
Ghost,GHOST,ghost,tech,false,true,true,true,true,true
Ghostrider,GHOSTRIDER,ghostrider,mystic,false,true,true,true,true
Goldpool,GOLDPOOL,goldpool,mutant,false,false,false,false,true
Green Goblin,GREENGOBLIN,greengoblin,tech,false,true,true,true,true,true
Groot,GROOT,groot,cosmic,false,true,true,true,true,true
Guillotine,GUILLOTINE,guillotine,mystic,false,true,true,true,true,true
Gwenpool,GWENPOOL,gwenpool,skill,false,false,true,true,true
Havok,HAVOK,havok,mutant,false,false,true,true,true,true
Hawkeye,HAWKEYE,hawkeye,skill,true,true,true,true,true,true
Heimdall,HEIMDALL,heimdall,cosmic,false,true,true,true,true,true
Hela,HELA,hela,cosmic,false,true,true,true,true,true
Howard the Duck,HOWARDTHEDUCK,howardtheduck,tech,false,true,true,true,true,true
Hulk (Ragnarok),HULKRAGNAROK,hulkragnarok,science,false,true,true,true,true,true
